outcode,property_type,n,avg_price,sd,q05,q10,q15,q20,q25,q50,q75
,D,368,399872.70923913043,460155.41727355117,85e3,116750.0,15e4,17e4,189998.75,272250.0,445750.0
,F,619,209251.81906300483,276207.53909861343,46950.0,50950.0,56949.899999999994,70032.0,81487.5,119750.0,225e3
,O,4205,747443.5457788347,3528001.5296037327,5e3,1e4,12500.0,15e3,18947.0,51950.0,3e5
,S,109,487778.06422018347,2055321.6681813041,24597.0,31364.8,71640.0,96200.0,109950.0,159950.0,265e3
,T,154,214297.73376623375,326456.046969804,24597.0,30699.6,49825.0,56600.0,65250.0,156e3,235e3
AL1,D,186,1026886.3440860215,450120.91428897844,47e4,525e3,58e4,62e4,661375.0,95e4,1288750.0
AL1,F,690,315752.8391304348,94304.9465148338,172500.0,207700.00000000003,225e3,242900.0,256375.0,31e4,375e3
AL1,O,36,1895328.361111111,3196455.946466284,159375.0,22e4,262500.0,35e4,437500.0,793403.5,1955e3
AL1,S,250,642175.92,221713.32978900924,389450.0,415e3,441050.0,469e3,49e4,595225.0,742250.0
AL1,T,441,479952.05215419503,139236.18291536317,31e4,325e3,352e3,37e4,385e3,45e4,565e3
AL10,D,68,501598.5294117647,160205.36283591503,293800.0,353250.0,391200.0,406400.0,421500.0,482500.0,552750.0
AL10,F,305,196305.96721311475,50194.25514411589,110200.00000000001,137400.0,152e3,16e4,165e3,198e3,225e3
AL10,O,21,3229909.095238095,9083818.175306614,5e3,5e3,9e4,9e4,116e3,48e4,945e3
AL10,S,146,363028.8493150685,82774.11352793672,246250.0,265e3,281125.0,299e3,315250.0,356e3,415e3
AL10,T,407,290641.0245700246,59576.59544785208,213e3,225e3,235e3,24e4,246500.0,28e4,328e3
AL2,D,208,633901.8365384615,169284.412402233,414425.0,466750.0,49e4,5e5,514375.0,61e4,721250.0
AL2,F,233,256242.57510729614,91557.29281544799,14e4,155800.0,172900.0,179970.0,191e3,241e3,295e3
AL2,O,12,1148080.0,2264732.904917969,1510.0,2850.0000000000005,4775.0,6e3,6e3,256e3,662500.0
AL2,S,198,482872.4494949495,107005.9019492123,339250.0,358650.0,376550.0,396e3,406e3,467500.0,55e4
AL2,T,181,390493.9502762431,131038.29513416957,223e3,26e4,285e3,295e3,315e3,359950.0,435e3
AL3,D,206,762706.791262136,333743.8218001289,430750.0,488750.0,528750.0,56e4,576250.0,687500.0,868750.0
AL3,F,200,276284.975,99576.82087540596,159875.0,17e4,177500.0,185e3,196875.0,259975.0,321250.0
AL3,O,34,681168.6764705882,1206543.390578846,51980.000000000015,85500.00000000003,145150.0,178e3,181250.0,373e3,916250.0
