year,outcode,property_type,n,avg_price,sd,q05,q10,q15,q20,q25,q50,q75
2015.0,,D,182,417482.8021978022,533046.3114695135,99050.0,135e3,163075.0,175e3,19e4,3e5,45e4
2015.0,,F,349,215165.8022922636,272366.60554290365,4e4,65e3,70032.0,83556.40000000002,90113.0,119211.0,225e3
2015.0,,O,642,1437315.0280373832,4682625.006316323,6e3,13537.500000000004,35e3,5e4,72875.0,25e4,8e5
2015.0,,S,59,709615.033898305,2780773.947422483,21583.0,24597.0,27818.899999999998,50182.40000000004,88e3,15e4,25e4
2015.0,,T,84,204527.97619047618,403342.9649754115,24597.0,24597.0,32407.6,45900.0,55863.25,130750.0,212e3
2015.0,AL1,D,92,955856.3586956522,364218.64116267633,47e4,54e4,58e4,606e3,648750.0,892975.0,1179250.0
2015.0,AL1,F,374,295201.2860962567,87208.37842441861,163250.0,190690.0,21e4,225e3,240075.0,281250.0,355e3
2015.0,AL1,O,11,1057227.2727272727,963359.5217683886,218750.0,25e4,275e3,3e5,325e3,7e5,1446e3
2015.0,AL1,S,123,593603.9024390244,181358.1495604948,361500.0,391e3,407100.0,432e3,470500.0,575e3,694250.0
2015.0,AL1,T,232,437199.0948275862,119682.67801444615,291e3,317200.0,325e3,348200.0,360750.0,416500.0,493500.0
2015.0,AL10,D,34,509316.17647058825,179834.74430903277,369025.0,388550.0,394800.0,413600.0,437750.0,472500.0,518750.0
2015.0,AL10,F,159,185839.55974842768,51251.6107940245,102700.0,124e3,15e4,154200.0,158e3,182e3,215250.0
2015.0,AL10,O,7,1617794.7142857143,3700506.016253575,117200.0,118400.0,119600.0,126000.00000000001,135e3,163e3,385500.0
2015.0,AL10,S,70,328235.9285714286,71041.6784632717,222250.0,243400.0,251750.0,265e3,280625.0,330750.0,368746.25
2015.0,AL10,T,216,268456.0833333333,49509.14716238313,209750.0,216e3,225e3,23e4,235e3,259725.0,291250.0
2015.0,AL2,D,112,632278.0803571428,194264.251316989,402750.0,44e4,469125.0,491800.0,5e5,6e5,699996.25
2015.0,AL2,F,120,238287.45833333334,83969.86700170464,141425.0,15e4,169207.5,174990.0,179525.0,218e3,271250.0
2015.0,AL2,O,3,413333.3333333333,119303.53445448853,333e3,336e3,339e3,342e3,345e3,36e4,455e3
2015.0,AL2,S,118,465981.77966101695,102957.2879794713,334250.0,353500.0,365e3,376400.0,391250.0,449500.0,513750.0
2015.0,AL2,T,96,358173.4895833333,115779.98609686115,214500.0,26e4,280625.0,29e4,292875.0,336e3,375500.0
2015.0,AL3,D,111,740012.6036036036,326215.75532388437,425e3,475e3,5e5,53e4,555e3,676e3,85e4
2015.0,AL3,F,96,252166.61458333334,90170.88630540634,154125.0,163500.0,175e3,18e4,181875.0,234975.0,297750.0
2015.0,AL3,O,13,677146.1538461539,318517.4684256857,28e4,352e3,358e3,384e3,42e4,73e4,1e6
2015.0,AL3,S,129,516580.8914728682,157237.22760933358,287e3,326e3,35e4,381e3,414640.0,5e5,63e4
2015.0,AL3,T,241,449707.8962655602,169797.70899829114,26e4,28e4,3e5,329950.0,349995.0,429500.0,525e3
2015.0,AL4,D,109,737092.0825688073,252049.02988153833,487e3,527e3,546e3,581400.0,6e5,67e4,805e3
2015.0,AL4,F,115,244985.21739130435,71411.45817377599,162800.0,175e3,185e3,192400.0,2e5,24e4,265e3
2015.0,AL4,O,4,47e4,343996.12400917156,115499.99999999997,171e3,226499.99999999997,282e3,337500.0,46e4,592500.0
2015.0,AL4,S,144,541200.3472222222,149731.954736153,340600.0,386500.0,405e3,412e3,430750.0,495e3,64e4
2015.0,AL4,T,101,370449.54455445544,106248.8844162163,22e4,245e3,285e3,295e3,302e3,35e4,425e3
2015.0,AL5,D,229,1172983.3973799127,606231.0466678556,542e3,62e4,672e3,716e3,78e4,98e4,1395e3
2015.0,AL5,F,147,370579.04761904763,256874.30984300395,143600.0,173e3,185e3,202e3,226050.0,3e5,39e4
2015.0,AL5,O,12,751000.8333333334,805603.8527990645,135e3,2e5,31e4,394e3,432500.0,572500.0,782375.0
2015.0,AL5,S,129,671454.1782945737,244734.59772445488,365e3,408200.0,445e3,47e4,486500.0,64e4,825e3
2015.0,AL5,T,89,467992.6629213483,127588.53741608608,323600.0,35e4,36e4,373e3,375e3,439e3,525e3
2015.0,AL6,D,120,763308.4,287974.2451566975,402850.0,473500.0,513500.0,552e3,589500.0,697500.0,850625.0
2015.0,AL6,F,56,217817.85714285713,53058.561496255694,163125.0,167500.0,169950.0,177950.0,179987.5,206250.0,251200.0
2015.0,AL6,S,35,491442.71428571426,130352.51979413621,332e3,351e3,365800.0,374600.0,377500.0,479995.0,585e3
2015.0,AL6,T,30,472050.0,180040.5294409548,297250.0,304500.0,318750.0,339e3,357750.0,44e4,577500.0
2015.0,AL7,D,40,456758.75,68394.02141316229,358e3,369e3,389250.0,395e3,424875.0,455e3,499962.5
2015.0,AL7,F,143,188597.75524475524,38082.161032119664,121250.00000000001,145e3,154965.0,157500.0,16e4,19e4,215e3
2015.0,AL7,O,11,2778041.8181818184,5255726.360384106,65730.0,71460.0,120730.0,17e4,23e4,3e5,165e4
2015.0,AL7,S,98,340071.71428571426,66356.78045094137,249250.0,273465.0,276375.0,280800.0,288487.5,328250.0,379487.5
2015.0,AL7,T,249,300544.0481927711,60998.721174902304,197600.0,23e4,249190.0,250600.0,269e3,295e3,33e4
2015.0,AL8,D,35,640015.7142857143,201827.84188635668,386550.0,430400.0,435900.0,447200.0,46e4,637e3,762500.0
2015.0,AL8,F,53,249061.54716981133,73798.55045052507,162600.0,183626.0,194700.0,199950.0,205e3,23e4,285e3
2015.0,AL8,O,4,1322750.0,2142788.7397812535,11349.999999999995,21700.000000000004,32049.999999999996,42400.00000000001,52750.0,395e3,1665e3
2015.0,AL8,S,43,515706.83720930235,117775.5320857941,330700.0,354400.0,382600.0,408400.0,422500.0,535e3,594385.5
2015.0,AL8,T,64,349622.5625,77527.99387356495,252665.0,27e4,283625.0,291200.0,298746.25,33e4,376250.0
2015.0,AL9,D,52,994475.9615384615,929164.2364950397,485500.0,500500.0,511500.0,526070.0,56e4,745e3,1012500.0
2015.0,AL9,F,51,220894.11764705883,26239.45435228946,165e3,184e3,191750.0,195e3,209e3,232950.0,234950.0
2015.0,AL9,O,3,673333.3333333334,25166.11478423583,652e3,654e3,656e3,658e3,66e4,67e4,685e3
2015.0,AL9,S,50,483179.0,146817.89361905004,307250.0,319800.0,346750.0,35e4,371250.0,45e4,578750.0
2015.0,AL9,T,47,337259.57446808513,93536.50916963424,211900.0,259e3,274500.0,288400.0,296e3,327500.0,360250.0
2015.0,B1,F,312,176687.8044871795,127281.88445044914,91662.5,99950.0,105975.0,11e4,12e4,15e4,182625.0
