outcode,property_type,n_i,avg_price,sd,threshold
,D,368,399872.70923913043,460155.41727355117,215e3
,F,619,209251.81906300483,276207.53909861343,90400.20000000001
,O,4205,747443.5457788347,3528001.5296037327,25e3
,S,109,487778.06422018347,2055321.6681813041,119e3
,T,154,214297.73376623375,326456.046969804,77935.0
AL1,D,186,1026886.3440860215,450120.91428897844,75e4
AL1,F,690,315752.8391304348,94304.9465148338,268700.0
AL1,O,36,1895328.361111111,3196455.946466284,486757.0
AL1,S,250,642175.92,221713.32978900924,508500.0
AL1,T,441,479952.05215419503,139236.18291536317,4e5
AL10,D,68,501598.5294117647,160205.36283591503,440500.0
AL10,F,305,196305.96721311475,50194.25514411589,174500.0
AL10,O,21,3229909.095238095,9083818.175306614,12e4
AL10,S,146,363028.8493150685,82774.11352793672,325e3
AL10,T,407,290641.0245700246,59576.59544785208,255e3
AL2,D,208,633901.8365384615,169284.412402233,54e4
AL2,F,233,256242.57510729614,91557.29281544799,2e5
AL2,O,12,1148080.0,2264732.904917969,17429.999999999993
AL2,S,198,482872.4494949495,107005.9019492123,415e3
AL2,T,181,390493.9502762431,131038.29513416957,325e3
AL3,D,206,762706.791262136,333743.8218001289,591500.0
AL3,F,200,276284.975,99576.82087540596,202730.0
AL3,O,34,681168.6764705882,1206543.390578846,205997.00000000003
AL3,S,234,557189.8974358974,189293.0308361833,444700.0
AL3,T,420,466993.7738095238,177885.732942661,364665.0
AL4,D,201,759493.2835820896,333267.56692818785,625e3
AL4,F,190,256463.15789473685,71672.05893723844,216400.0
AL4,O,16,1288485.6875,1573403.5460848862,46e4
AL4,S,269,562107.1449814127,156477.73015447287,46e4
AL4,T,197,379625.88324873097,99373.43214874895,324e3
AL5,D,413,1156309.435835351,589232.7331520941,816e3
AL5,F,287,384097.29965156794,261822.6392674759,263960.0
AL5,O,31,752728.9032258064,789228.3533848893,28e4
AL5,S,288,674736.5486111111,219816.3500957227,535e3
AL5,T,189,486658.2328042328,148024.3959838434,415800.0
AL6,D,252,800869.0595238095,257655.7721973832,65e4
AL6,F,79,241454.11392405065,81811.23710415639,187e3
AL6,O,5,676e3,699369.358779751,171000.00000000012
AL6,S,74,523067.5,154347.83670899496,414500.0
AL6,T,55,489981.2727272727,156766.5546731538,385e3
AL7,D,83,478115.5060240964,78751.60627109396,44e4
AL7,F,289,202046.6920415225,44487.37934732756,175020.0
AL7,O,35,2443394.714285714,6464772.075026965,29e4
AL7,S,176,365048.51704545453,75593.96235346346,322780.0
AL7,T,486,321412.5432098765,62056.64007294862,290750.0
AL8,D,66,706303.7878787878,254309.7690598562,571500.0
AL8,F,101,252248.0792079208,79590.98524628064,215e3
AL8,O,6,948854.3333333334,1758042.3740378576,122500.0
AL8,S,105,523867.0857142857,130306.16289325588,441000.00000000006
AL8,T,130,380630.9769230769,98218.5495391431,325e3
AL9,D,112,1037433.4821428572,772998.1360882269,675e3
AL9,F,86,262862.79069767444,86623.35447415829,221950.0
AL9,O,11,2440082.272727273,2915159.8584897565,65e4
AL9,S,89,505288.202247191,164156.51138029693,382e3
AL9,T,95,390578.05263157893,130564.0186360347,325e3
B1,F,647,176199.7341576507,103416.82250711402,135e3
B1,O,59,1755460.3898305085,4028349.7905403636,250600.0
B1,T,31,273119.3548387097,155157.0997824567,13e4
B10,F,15,59530.0,15610.639686719165,59200.0
B10,O,12,803456.5,1223481.4627334794,92599.99999999999
B10,S,27,125040.74074074074,30521.370309736187,11e4
B10,T,195,114121.17435897436,37882.662122601876,93399.99999999999
B11,D,3,29e4,83516.46544245032,251e3
B11,F,15,96496.66666666667,74268.26486909913,55100.0
B11,O,33,965503.7272727273,1944664.2062166426,249200.0
B11,S,61,160616.39344262294,63887.43794186739,13e4
B11,T,462,117425.69047619047,37698.092657400324,1e5
B12,F,73,116953.21917808219,35442.42070843237,105e3
B12,O,21,475342.1904761905,613980.1480217922,15e4
B12,S,8,129868.75,24469.70338865127,125e3
B12,T,118,134016.8220338983,53355.59157468219,103525.0
B13,D,125,424799.648,154818.26887819014,318800.0
B13,F,350,125236.10571428572,52313.36684831122,95e3
B13,O,25,611604.52,574515.3128528662,3e5
B13,S,189,285120.48148148146,131711.4503446831,195800.0
B13,T,305,194270.48852459015,95163.37675365766,136200.0
B14,D,81,272328.037037037,105241.1559508024,198e3
B14,F,97,89972.68041237113,29150.379697193486,74560.0
B14,O,27,358939.962962963,361301.2515265515,174e3
B14,S,422,187424.96682464454,78400.65320564956,144965.0
B14,T,529,170500.393194707,65162.36406504804,132200.0
B15,D,101,678252.6237623763,395815.17491422314,45e4
B15,F,364,160539.5,86595.47754850709,128e3
B15,O,16,2747741.6875,6306297.88313566,255394.0
B15,S,32,512424.09375,367926.35389869055,307150.0
B15,T,63,288637.22222222225,161468.79610858648,229400.0
B16,D,33,320268.9393939394,122956.45460612758,244704.0
B16,F,714,148430.59103641455,67065.51335463815,117e3
B16,O,33,1111603.8484848484,3780302.4047892494,66574.4
B16,S,79,282047.2784810127,115480.60670740865,226e3
B16,T,152,152450.90131578947,77845.78249901686,105e3
B17,D,146,483126.12328767125,192109.34910495515,365e3
B17,F,248,156130.5766129032,62086.90996946825,120150.0
B17,O,14,1260371.4285714286,1476432.5322200817,298950.0
B17,S,217,317249.34562211984,131703.51633493492,24e4
B17,T,447,253364.15883668905,112256.60502142673,185e3
B18,D,6,175333.33333333334,70129.641854687,171e3
B18,F,291,171319.61855670103,62312.1244548061,147e3
B18,O,26,1040365.3076923077,3002466.5879001785,125e3
B18,S,21,122142.85714285714,34902.05683664748,106e3
B18,T,140,115399.27857142857,53249.316929326174,87700.0
B19,D,14,159176.42857142858,26048.068541165867,161350.0
B19,F,48,91275.125,20570.574705844352,84599.5
B19,O,18,424661.1111111111,509215.7374062808,209610.0
B19,S,29,150601.55172413794,31931.49263052544,129997.0
B19,T,137,109183.75912408759,32075.08113797577,87e3
B2,F,58,143861.43103448275,40897.34448939972,119950.0
B2,O,9,11696457.777777778,12305326.448170502,4385e3
B20,D,92,255491.08695652173,101633.84764298571,193600.0
B20,F,51,66940.88235294117,17057.41002338521,58e3
B20,O,21,308925.04761904763,343753.78738007764,59900.0
B20,S,167,172850.53892215568,53122.417292372185,153400.0
B20,T,196,131949.4642857143,51013.84877174442,101500.0
B21,D,9,167111.11111111112,41220.27548562856,143e3
B21,F,2,6e4,0.0,6e4
B21,O,15,427626.6666666667,383423.7966135172,18e4
B21,S,71,134918.7323943662,30908.289453505018,122e3
B21,T,318,102047.5786163522,30417.05893617276,88e3
B23,D,64,209372.5,55765.183305066064,18e4
B23,F,268,82596.21641791044,33360.79823160136,68e3
B23,O,41,474889.9024390244,375824.3368960959,176e3
B23,S,428,146002.41822429906,30942.43284179413,126050.0
