year,outcode,property_type,n_i,avg_price,sd
2015.0,,D,182,417482.8021978022,533046.3114695135
2015.0,,F,349,215165.8022922636,272366.60554290365
2015.0,,O,642,1437315.0280373832,4682625.006316323
2015.0,,S,59,709615.033898305,2780773.947422483
2015.0,,T,84,204527.97619047618,403342.9649754115
2015.0,AL1,D,92,955856.3586956522,364218.64116267633
2015.0,AL1,F,374,295201.2860962567,87208.37842441861
2015.0,AL1,O,11,1057227.2727272727,963359.5217683886
2015.0,AL1,S,123,593603.9024390244,181358.1495604948
2015.0,AL1,T,232,437199.0948275862,119682.67801444615
2015.0,AL10,D,34,509316.17647058825,179834.74430903277
2015.0,AL10,F,159,185839.55974842768,51251.6107940245
2015.0,AL10,O,7,1617794.7142857143,3700506.016253575
2015.0,AL10,S,70,328235.9285714286,71041.6784632717
2015.0,AL10,T,216,268456.0833333333,49509.14716238313
2015.0,AL2,D,112,632278.0803571428,194264.251316989
2015.0,AL2,F,120,238287.45833333334,83969.86700170464
2015.0,AL2,O,3,413333.3333333333,119303.53445448853
2015.0,AL2,S,118,465981.77966101695,102957.2879794713
2015.0,AL2,T,96,358173.4895833333,115779.98609686115
2015.0,AL3,D,111,740012.6036036036,326215.75532388437
2015.0,AL3,F,96,252166.61458333334,90170.88630540634
2015.0,AL3,O,13,677146.1538461539,318517.4684256857
2015.0,AL3,S,129,516580.8914728682,157237.22760933358
2015.0,AL3,T,241,449707.8962655602,169797.70899829114
2015.0,AL4,D,109,737092.0825688073,252049.02988153833
2015.0,AL4,F,115,244985.21739130435,71411.45817377599
2015.0,AL4,O,4,47e4,343996.12400917156
2015.0,AL4,S,144,541200.3472222222,149731.954736153
2015.0,AL4,T,101,370449.54455445544,106248.8844162163
2015.0,AL5,D,229,1172983.3973799127,606231.0466678556
2015.0,AL5,F,147,370579.04761904763,256874.30984300395
2015.0,AL5,O,12,751000.8333333334,805603.8527990645
2015.0,AL5,S,129,671454.1782945737,244734.59772445488
2015.0,AL5,T,89,467992.6629213483,127588.53741608608
2015.0,AL6,D,120,763308.4,287974.2451566975
2015.0,AL6,F,56,217817.85714285713,53058.561496255694
2015.0,AL6,S,35,491442.71428571426,130352.51979413621
2015.0,AL6,T,30,472050.0,180040.5294409548
2015.0,AL7,D,40,456758.75,68394.02141316229
2015.0,AL7,F,143,188597.75524475524,38082.161032119664
2015.0,AL7,O,11,2778041.8181818184,5255726.360384106
2015.0,AL7,S,98,340071.71428571426,66356.78045094137
2015.0,AL7,T,249,300544.0481927711,60998.721174902304
2015.0,AL8,D,35,640015.7142857143,201827.84188635668
2015.0,AL8,F,53,249061.54716981133,73798.55045052507
2015.0,AL8,O,4,1322750.0,2142788.7397812535
2015.0,AL8,S,43,515706.83720930235,117775.5320857941
2015.0,AL8,T,64,349622.5625,77527.99387356495
2015.0,AL9,D,52,994475.9615384615,929164.2364950397
2015.0,AL9,F,51,220894.11764705883,26239.45435228946
2015.0,AL9,O,3,673333.3333333334,25166.11478423583
2015.0,AL9,S,50,483179.0,146817.89361905004
2015.0,AL9,T,47,337259.57446808513,93536.50916963424
2015.0,B1,F,312,176687.8044871795,127281.88445044914
2015.0,B1,O,25,1183668.44,2188988.9611213417
2015.0,B1,T,19,278821.05263157893,156266.54429370695
2015.0,B10,F,9,56883.333333333336,16898.890496124295
2015.0,B10,O,3,2118292.6666666665,1871492.0558103723
2015.0,B10,S,8,114250.0,21682.77789266996
2015.0,B10,T,89,109337.12359550562,38986.164993558996
2015.0,B11,D,1,38e4,NA
2015.0,B11,F,4,49e3,5597.6185412488885
2015.0,B11,O,17,1235154.294117647,2573515.1246256493
2015.0,B11,S,29,153468.9655172414,72543.7016240569
2015.0,B11,T,224,111168.44642857143,33884.166131904676
2015.0,B12,F,27,111029.62962962964,36392.09619192284
2015.0,B12,O,6,1014140.1666666666,971453.4184790163
2015.0,B12,S,8,129868.75,24469.70338865127
2015.0,B12,T,70,133948.35714285713,55583.54627255191
2015.0,B13,D,65,416480.8153846154,151506.2383033794
2015.0,B13,F,172,122557.41279069768,47340.609841836944
2015.0,B13,O,4,550500.0,205453.15767833797
2015.0,B13,S,85,279900.5882352941,132171.57331028685
2015.0,B13,T,175,191417.88571428572,97711.27824401246
2015.0,B14,D,43,264638.37209302327,91495.09213822379
2015.0,B14,F,41,84425.60975609756,27606.555204224638
2015.0,B14,O,10,342567.9,328207.75033791905
2015.0,B14,S,208,175741.79326923078,72730.3100674857
2015.0,B14,T,266,167035.007518797,64501.786635778466
2015.0,B15,D,48,724241.9166666666,377895.67516253225
2015.0,B15,F,182,155911.17032967033,99203.57132338213
2015.0,B15,O,6,785593.0,764931.8278055895
2015.0,B15,S,14,518674.5714285714,507552.6570092869
2015.0,B15,T,29,264472.2413793103,123033.98088671485
2015.0,B16,D,16,296114.0625,97978.27565705148
2015.0,B16,F,256,152467.3984375,74560.7490346051
2015.0,B16,O,6,4624577.833333333,8453086.329770219
2015.0,B16,S,40,289224.625,110131.17549486799
2015.0,B16,T,79,137944.96202531646,55600.12205747601
2015.0,B17,D,84,480273.8095238095,184024.7725067363
2015.0,B17,F,112,162231.4642857143,61461.29406366819
2015.0,B17,O,10,1212070.0,1585328.5015695922
2015.0,B17,S,114,300749.13157894736,134534.00680115673
2015.0,B17,T,237,247583.44303797468,113582.7065499581
2015.0,B18,D,3,129166.66666666667,73014.26801203538
2015.0,B18,F,82,153776.15853658537,80258.30328298402
2015.0,B18,O,10,2343800.0,4678695.387321745
2015.0,B18,S,8,120125.0,39267.170948334366
2015.0,B18,T,64,113919.515625,58008.30755035778
2015.0,B19,D,6,169415.83333333334,8237.020345165276
2015.0,B19,F,22,94352.27272727272,22743.544491070777
2015.0,B19,O,5,27e4,123288.28005937953
2015.0,B19,S,20,146648.0,31659.86345018264
2015.0,B19,T,75,108697.41333333333,31796.83308091382
2015.0,B2,F,31,134709.67741935485,33246.737733084025
2015.0,B2,O,4,18923750.0,14892657.796713118
2015.0,B20,D,46,258123.91304347827,99221.17926863668
2015.0,B20,F,26,62103.846153846156,14161.192909334462
2015.0,B20,O,3,585e3,440489.5004424055
2015.0,B20,S,75,169958.66666666666,52174.353861843876
2015.0,B20,T,98,122583.67346938775,47940.10748792845
2015.0,B21,D,5,163400.0,51335.173127203925
2015.0,B21,F,2,6e4,0.0
2015.0,B21,O,6,276016.6666666667,174735.6908781565
2015.0,B21,S,35,129184.28571428571,26350.2784097039
2015.0,B21,T,161,99772.9751552795,26993.18079579321
2015.0,B23,D,31,194432.09677419355,43143.71606955435
2015.0,B23,F,123,77409.23577235773,28933.555984693023
2015.0,B23,O,4,295053.75,140632.2446059817
2015.0,B23,S,225,144152.53333333333,31789.1897095987
2015.0,B23,T,281,118298.76512455515,24366.587512887556
2015.0,B24,D,50,194702.3,60754.10818569208
2015.0,B24,F,53,84305.75471698113,19556.870078455868
2015.0,B24,O,13,1069295.5384615385,1225385.0451152497
2015.0,B24,S,175,158090.11428571428,46984.98629971671
2015.0,B24,T,136,132973.3088235294,34856.51806955984
2015.0,B25,D,8,228562.5,32854.04682618479
2015.0,B25,F,9,73333.33333333333,16414.551471179468
2015.0,B25,O,2,223e4,1796051.2242138307
2015.0,B25,S,57,157357.01754385966,53157.62816395728
2015.0,B25,T,131,116956.87022900763,34399.445105407634
2015.0,B26,D,46,213967.39130434784,38806.72939551608
2015.0,B26,F,67,93906.34328358209,27439.105562633424
2015.0,B26,O,5,256900.0,192608.54082828207
2015.0,B26,S,313,152855.23961661343,29028.54771417825
2015.0,B26,T,129,137566.9534883721,32520.751840137702
2015.0,B27,D,11,249227.27272727274,73117.83764457332
2015.0,B27,F,25,100438.0,43602.2296830487
2015.0,B27,O,13,1170316.923076923,2041979.7119600815
2015.0,B27,S,112,161737.67857142858,55098.42323706793
2015.0,B27,T,153,133885.75163398692,36755.03772654864
2015.0,B28,D,55,255350.9090909091,59780.7006908097
2015.0,B28,F,43,96841.860465116275,25206.263229206877
2015.0,B28,O,3,287500.0,108253.17547305483
2015.0,B28,S,225,201561.94222222222,50776.84530172936
2015.0,B28,T,145,175990.24827586208,48866.855616325665
2015.0,B29,D,44,425937.5,140820.36393311803
2015.0,B29,F,41,101054.73170731707,34038.296637041334
2015.0,B29,O,10,1835850.0,2175704.02462692
2015.0,B29,S,194,174717.51030927835,77556.58922569847
2015.0,B29,T,336,178123.53273809524,81478.6566444489
2015.0,B3,F,145,182212.30344827587,104723.98552188431
2015.0,B3,O,25,3586059.6,7364069.185974967
2015.0,B30,D,28,328075.35714285716,94290.35732805826
2015.0,B30,F,58,91308.62068965517,26553.532718237544
2015.0,B30,O,5,582999.2,213323.89927338192
2015.0,B30,S,123,223838.39837398374,101891.22532047208
2015.0,B30,T,267,171166.3670411985,64127.093127867534
2015.0,B31,D,108,217210.69444444444,92004.48632513793
2015.0,B31,F,172,152639.61046511628,88030.79433463357
2015.0,B31,O,9,782183.3333333334,1059448.8791348075
2015.0,B31,S,371,155656.2129380054,53163.13763299027
2015.0,B31,T,274,125009.3394160584,29902.35149361578
2015.0,B32,D,35,257438.42857142858,83048.31599358139
2015.0,B32,F,34,64925.0,16139.976014776967
2015.0,B32,O,3,375e3,442690.63690121117
2015.0,B32,S,200,147561.61,45850.25465488161
2015.0,B32,T,215,129371.62325581396,49229.810600386474
2015.0,B33,D,14,274500.0,144702.745707829
2015.0,B33,F,34,71704.41176470589,21508.16042331396
2015.0,B33,O,8,1395181.75,3132957.570134728
2015.0,B33,S,133,124147.36842105263,35480.91693441951
2015.0,B33,T,214,106922.68691588785,27765.799755390577
2015.0,B34,D,12,168833.33333333334,57342.405906549786
2015.0,B34,F,14,78285.71428571429,9139.336547445473
2015.0,B34,O,1,75e4,NA
2015.0,B34,S,92,137225.54347826086,32913.62029312921
2015.0,B34,T,105,112960.94285714286,23302.44721954714
2015.0,B35,D,2,192500.0,74246.21202458748
2015.0,B35,F,13,82846.15384615384,19096.66704709731
2015.0,B35,S,11,133859.0909090909,24109.09390854225
2015.0,B35,T,41,115340.24390243902,17049.014705812897
2015.0,B36,D,58,264316.3793103448,68584.58114526284
2015.0,B36,F,45,113645.88888888889,44882.39897586005
2015.0,B36,O,5,388888.0,285087.210726823
2015.0,B36,S,177,174933.42372881356,42738.144908666836
2015.0,B36,T,118,121647.45762711864,40610.77593061015
2015.0,B37,D,45,266082.0,67969.20801329485
2015.0,B37,F,67,73107.70149253731,18676.250873701127
2015.0,B37,O,14,1469730.0,1818004.6563215312
2015.0,B37,S,99,162172.47474747474,48502.90570074304
2015.0,B37,T,179,120313.40782122905,29590.647495794816
2015.0,B38,D,50,314907.0,139229.5439890103
2015.0,B38,F,35,90515.71428571429,39371.46019836272
2015.0,B38,S,90,178752.45555555556,73460.97577934191
2015.0,B38,T,118,130663.52542372882,52700.044327607815
2015.0,B4,F,22,115315.90909090909,22812.702113200612
2015.0,B4,O,4,2448750.0,2396596.110458887
2015.0,B42,D,30,216940.0,41496.76223348117
2015.0,B42,F,15,70633.33333333333,18210.541165045302
2015.0,B42,O,4,223750.0,149687.17379922702
2015.0,B42,S,181,138314.88950276244,30073.48346576267
2015.0,B42,T,112,126767.36607142857,31738.913258754896
2015.0,B43,D,71,261642.01408450704,85296.40461112949
2015.0,B43,F,88,126108.29545454546,30335.042574235307
2015.0,B43,O,1,15601.0,NA
2015.0,B43,S,207,160486.93719806764,36558.65077019138
