outcde,prop_typ,year,N,avg_price,median,sd,q25,q20,q15,q10,q05,scottish
,D,2015,182,417482.8021978022,3e5,533046.3114695133,19e4,175e3,163075,135e3,99050,FALSE
,D,2016,186,382641.32795698923,252475,376103.5707033226,189996.25,165e3,145e3,102750,8e4,FALSE
,F,2015,349,215165.8022922636,119211,272366.60554290365,90113,83556.40000000002,70032,65e3,4e4,FALSE
,F,2016,270,201607.44814814813,12e4,281417.8645903459,62625,51950,50950,48950,47362.5,FALSE
,O,2015,642,1437315.0280373832,25e4,4682625.006316318,72875,5e4,35e3,13537.500000000004,6e3,FALSE
,O,2016,3563,623138.8891383666,49950,3262368.4449389027,15236.5,15e3,12001,1e4,5e3,FALSE
,S,2015,59,709615.033898305,15e4,2780773.947422483,88e3,50182.40000000004,27818.899999999998,24597,21583,FALSE
,S,2016,50,226010.44,169e3,169216.3607360152,120499.75,107960,97684.6,83697.2,72690,FALSE
,T,2015,84,204527.97619047618,130750,403342.96497541154,55863.25,45900,32407.6,24597,24597,FALSE
,T,2016,70,226021.44285714286,172997.5,200911.4733287994,83999.5,68600,60875,54225,3e4,FALSE
AL1,D,2015,92,955856.3586956522,892975,364218.6411626764,648750,606e3,58e4,54e4,47e4,FALSE
AL1,D,2016,94,1096405.0531914893,1018750,513186.9458151724,706375,631e3,579499.9999999999,515e3,482500,FALSE
AL1,F,2015,374,295201.2860962567,281250,87208.37842441854,240075,225e3,21e4,190690,163250,FALSE
AL1,F,2016,316,340076.5126582279,335e3,96705.53302535125,275e3,268e3,249996.25,228750,192375,FALSE
AL1,O,2015,11,1057227.2727272727,7e5,963359.5217683886,325e3,3e5,275e3,25e4,218750,FALSE
AL1,O,2016,25,2264092.84,795e3,3748331.446221346,485214,44e4,331999.99999999994,218e3,102000.00000000003,FALSE
AL1,S,2015,123,593603.9024390244,575e3,181358.14956049478,470500,432e3,407100,391e3,361500,FALSE
AL1,S,2016,127,689218.1102362205,63e4,246501.47077858102,512e3,491380,465e3,447200,425e3,FALSE
AL1,T,2015,232,437199.0948275862,416500,119682.67801444611,360750,348200,325e3,317200,291e3,FALSE
AL1,T,2016,209,527409.8803827751,5e5,144224.56855633046,425e3,408800,386800,375e3,334e3,FALSE
AL10,D,2015,34,509316.17647058825,472500,179834.74430903274,437750,413600,394800,388550,369025,FALSE
AL10,D,2016,34,493880.8823529412,509e3,140164.18079518655,420500,406e3,358e3,305300,288900,FALSE
AL10,F,2015,159,185839.55974842768,182e3,51251.610794024484,158e3,154200,15e4,124e3,102700,FALSE
AL10,F,2016,146,207704.31506849316,21e4,46572.70481741845,18e4,175e3,165e3,151e3,115625,FALSE
AL10,O,2015,7,1617794.7142857143,163e3,3700506.016253575,135e3,126000.00000000001,119600,118400,117200,FALSE
AL10,O,2016,14,4035966.285714286,762500,10887056.535245705,9e4,56000.00000000001,5e3,5e3,3459.9999999999995,FALSE
