outcode,property_type,n_i,avg_price,sd,threshold
,D,868,365979.6048387097,403057.07235659944,2e5
,F,1247,221929.94226142744,443270.19585833495,70032.0
,O,4653,913698.5437352246,3947532.11074711,3e4
,S,254,337004.9251968504,1354045.259053119,131800.0
,T,311,202940.7877813505,254509.93605571438,99995.0
AL1,D,474,931479.194092827,400132.39556877024,66e4
AL1,F,1696,274211.1916273585,89269.05107106509,22e4
AL1,O,46,1782747.7173913044,2850931.7516388968,462500.0
AL1,S,648,560607.5987654321,210607.2225940911,43e4
AL1,T,1167,420451.087403599,129881.99454911292,346e3
AL10,D,156,441034.0128205128,155616.01155859986,367500.0
AL10,F,623,177062.90529695025,53009.669089968804,150800.0
AL10,O,23,3766003.8695652173,8816798.89468591,200199.99999999997
AL10,S,349,315144.6905444126,83918.67091766806,26e4
AL10,T,997,249963.63490471416,62667.26029757416,21e4
AL2,D,531,571948.4595103578,184428.7262997162,472e3
AL2,F,518,224818.72586872586,85897.28299566233,174999.1
AL2,O,18,4524331.111111111,7952794.010025207,58699.99999999995
AL2,S,490,417994.8530612245,118900.14276234825,345e3
AL2,T,457,332908.5054704595,115987.35133289249,268e3
AL3,D,525,711871.420952381,316746.49816659605,55e4
AL3,F,420,264167.34523809527,102453.13653895864,198349.99999999997
AL3,O,41,772780.1219512195,1273720.6426272637,23e4
AL3,S,675,498185.02074074076,190459.88792120523,375e3
AL3,T,1067,428588.0955951265,172046.10955311466,325e3
AL4,D,496,660824.9213709678,279474.76187634235,525e3
AL4,F,444,217293.3108108108,67754.43384648737,175e3
AL4,O,24,1368073.7916666667,1557251.9701465194,428e3
AL4,S,712,492507.0828651685,149932.4413798277,4e5
AL4,T,495,331998.8262626263,101921.28654745278,275e3
AL5,D,998,1084830.640280561,579377.746100737,75e4
AL5,F,641,332017.8611544462,214978.45549022703,225e3
AL5,O,42,771244.9047619047,827519.0825727757,237699.99999999994
AL5,S,729,608366.4842249657,229283.32779804477,457700.0
AL5,T,492,447699.5162601626,178021.57957713504,355600.0
AL6,D,541,746272.1756007394,308842.9481375918,575e3
AL6,F,119,237351.88235294117,149054.87031156078,176180.0
AL6,O,10,646e3,652443.271267489,223e3
AL6,S,188,438066.9680851064,154742.36112256098,34e4
AL6,T,144,404227.6041666667,150491.2573825818,31e4
AL7,D,193,430476.5647668394,88246.93622548369,385e3
AL7,F,790,177434.41012658228,42180.62921036032,153985.0
AL7,O,39,2339844.358974359,6151503.109996152,232e3
AL7,S,419,309310.4630071599,79973.08748570134,25e4
AL7,T,1173,272992.6052855925,67996.94807095658,232e3
AL8,D,172,623011.5930232558,232233.98710520548,465e3
