year,outcode,property_type,n_i,avg_price,sd,threshold
2012.0,,D,130,352723.23076923075,330592.7039975026,2e5
2012.0,,F,124,354046.81451612903,650303.2161356704,137500.0
2012.0,,O,8,401799.375,518660.4110621178,140100.0
2012.0,,S,40,207745.85,133891.01431781685,123046.5
2012.0,,T,36,194222.22222222222,111553.41093872249,122500.0
2012.0,AL1,D,80,877013.8625,373509.39548122865,618500.0
2012.0,AL1,F,254,232177.468503937,66294.79902627194,186349.99999999997
2012.0,AL1,S,140,479382.3642857143,164182.30767385062,375e3
2012.0,AL1,T,222,355670.1171171171,102858.77211158496,284965.0
2012.0,AL10,D,21,385645.5238095238,135290.3890764673,29e4
2012.0,AL10,F,68,142349.85294117648,45043.36833069953,123200.0
2012.0,AL10,S,62,265469.27419354836,64292.65459055671,23e4
2012.0,AL10,T,142,207355.5915492958,41944.35978332967,189300.0
2012.0,AL2,D,81,537311.0493827161,215723.13848240182,4e5
2012.0,AL2,F,61,169818.03278688525,52948.20112838811,135500.0
2012.0,AL2,S,93,347951.6129032258,102858.09913250817,29e4
2012.0,AL2,T,85,278550.65882352943,84958.44502567024,237590.0
2012.0,AL3,D,73,643801.301369863,271067.50921898714,47e4
2012.0,AL3,F,60,231575.0,106813.86570469051,157800.0
2012.0,AL3,O,1,175e3,NA,175e3
2012.0,AL3,S,137,428225.9708029197,164500.3599758685,32e4
2012.0,AL3,T,192,388474.390625,181572.60481670967,276368.0
2012.0,AL4,D,91,567013.978021978,241389.47122500694,46e4
2012.0,AL4,F,66,170431.0606060606,33817.49406759252,150500.0
2012.0,AL4,S,125,421026.72,117087.2883415232,35e4
2012.0,AL4,T,81,268050.60493827163,79306.86434440575,232e3
2012.0,AL5,D,176,970210.7045454546,614213.7791330621,599975.0
2012.0,AL5,F,102,322114.4117647059,204160.26154258256,203600.0
2012.0,AL5,S,150,506199.29333333333,231003.5829430301,36e4
2012.0,AL5,T,83,369040.9638554217,118550.45394584944,304800.0
2012.0,AL6,D,67,689648.4925373135,406529.30220060184,487e3
2012.0,AL6,F,12,152833.33333333334,37406.4489659527,128800.0
2012.0,AL6,O,2,217500.0,31819.805153394638,208500.0
2012.0,AL6,S,38,355381.5789473684,154849.37904955944,261350.0
2012.0,AL6,T,27,325370.3703703704,84974.8370664689,25e4
2012.0,AL7,D,33,361240.75757575757,74795.61729014872,316e3
2012.0,AL7,F,115,149720.8,28561.886713504893,137100.0
2012.0,AL7,S,82,250137.19512195123,46968.24959281865,22e4
2012.0,AL7,T,190,214783.1052631579,40903.06011875896,194e3
2012.0,AL8,D,25,611722.0,217477.38200404504,495e3
2012.0,AL8,F,23,191197.8260869565,126638.46220124299,147400.0
2012.0,AL8,S,30,386915.0,117719.45547901529,329250.0
2012.0,AL8,T,61,286098.1967213115,88770.83059312889,242e3
2012.0,AL9,D,37,856432.4324324324,682008.239219559,492900.0
2012.0,AL9,F,19,190997.36842105264,111285.6939913415,140200.0
2012.0,AL9,S,35,413598.5714285714,125032.37962136652,34e4
2012.0,AL9,T,26,283550.0,78402.38771874233,239750.0
2012.0,B1,F,171,127785.52046783626,44054.35227725742,1e5
2012.0,B1,T,6,108666.66666666667,12127.104628338402,104500.0
2012.0,B10,F,4,42750.0,13079.882772155619,32350.0
2012.0,B10,S,10,102150.0,27616.470528372094,92100.0
2012.0,B10,T,72,109419.44444444444,35332.61924603952,87150.0
2012.0,B11,F,8,69500.0,33836.79316112228,55150.0
2012.0,B11,S,32,145968.59375,50346.56296104956,110900.0
2012.0,B11,T,167,112412.80838323354,57869.31361140054,88700.0
2012.0,B12,D,2,194e3,8485.28137423857,191600.0
2012.0,B12,F,7,68928.57142857143,25247.819330634895,54e3
2012.0,B12,S,3,231716.66666666666,75751.83716144007,217090.0
2012.0,B12,T,37,112054.05405405405,29552.16287059765,99400.0
2012.0,B13,D,56,336006.6964285714,123163.95230555224,245750.0
2012.0,B13,F,72,106436.80555555556,42642.47947585814,82200.0
2012.0,B13,S,109,223629.8623853211,103642.87672825698,159300.0
2012.0,B13,T,100,160576.71,61096.31926940098,124665.0
2012.0,B14,D,24,207602.04166666666,65384.2048473477,173900.0
2012.0,B14,F,39,75449.35897435897,24602.10228980996,58200.0
2012.0,B14,S,140,155695.02142857143,62897.531771232556,118e3
2012.0,B14,T,210,147375.04761904763,50949.14963729299,115700.0
2012.0,B15,D,28,643309.5,398655.37114381744,339699.4
2012.0,B15,F,126,135949.59523809524,44448.49238211412,111500.0
2012.0,B15,S,12,384e3,223891.61338793943,207100.0
2012.0,B15,T,29,226806.89655172414,66229.59891292932,191800.0
