outcode,property_type,n_i,avg_price,sd,threshold
,D,875,366595.2365714286,402458.17752692936,2e5
,F,1245,222107.18634538152,443595.9461085248,70032.0
,O,4329,915469.917994918,3886341.117794993,35e3
,S,260,334936.41538461536,1338501.4167302751,13e4
,T,324,196171.75308641975,251751.10504704717,85e3
AL1,D,474,931479.194092827,400132.3955687703,66e4
AL1,F,1677,272155.7728085868,86189.50291161111,22e4
AL1,O,42,1861585.5952380951,2959904.5746304635,457500.0
AL1,S,647,559656.3353941267,210298.6098816001,43e4
AL1,T,1164,420284.7242268041,129778.4334568057,345900.0
AL10,D,156,441034.0128205128,155616.01155859986,367500.0
AL10,F,620,176968.20967741936,53108.01463544048,150350.0
AL10,O,22,3937158.590909091,8985088.195593279,244799.99999999997
AL10,S,350,314707.42,84196.71388814622,26e4
AL10,T,997,249963.63490471416,62667.26029757417,21e4
AL2,D,529,571256.393194707,184366.88910892108,470800.0
AL2,F,513,223885.28265107214,85744.15768961971,174570.0
AL2,O,18,4524331.111111111,7952794.010025207,58699.99999999995
AL2,S,489,417407.93047034764,118309.22845919468,345e3
AL2,T,457,332908.5054704595,115987.35133289246,268e3
AL3,D,525,711871.420952381,316746.4981665961,55e4
AL3,F,410,262668.98780487804,101113.26218222754,197850.0
AL3,O,38,801025.9210526316,1315526.6524759636,23e4
AL3,S,673,498629.8499257058,190533.16548214285,375e3
AL3,T,1067,428588.0955951265,172046.10955311466,325e3
AL4,D,490,657059.6142857143,278843.67060065985,525e3
AL4,F,441,217061.74603174604,67818.0949475332,175e3
AL4,O,24,1368073.7916666667,1557251.9701465194,428e3
AL4,S,707,490968.9434229137,149321.6695985053,4e5
AL4,T,495,331998.8262626263,101921.28654745278,275e3
AL5,D,998,1084830.640280561,579377.746100737,75e4
AL5,F,638,332251.48746081506,215438.7225490337,225e3
AL5,O,39,703648.358974359,820485.5291323254,222400.0
AL5,S,726,607596.717630854,229221.9215714044,456500.0
AL5,T,492,447699.5162601626,178021.57957713504,355600.0
AL6,D,538,745730.9423791822,309605.0980899192,575e3
AL6,F,119,237351.88235294117,149054.87031156078,176180.0
AL6,O,10,646e3,652443.271267489,223e3
AL6,S,186,433046.18279569893,147647.5063323489,34e4
AL6,T,143,402858.9160839161,150118.12985316807,31e4
AL7,D,189,429666.54497354495,88929.86700840316,385e3
AL7,F,788,177440.58883248732,42215.20531256105,154095.0
AL7,O,39,2340967.435897436,6151138.374639312,232e3
AL7,S,415,307400.20240963856,78223.7075774772,25e4
AL7,T,1172,272870.75597269624,67897.73671833565,232e3
AL8,D,172,623011.5930232558,232233.98710520554,465e3
AL8,F,212,235205.99528301886,97052.50385920607,185e3
AL8,O,12,1719666.6666666667,3112926.6362097645,146500.0
AL8,S,255,468851.66274509806,133344.78368386536,384200.0
AL8,T,332,344328.6114457831,108279.09074952299,275e3
AL9,D,290,902384.1206896552,645704.5843861068,557e3
AL9,F,178,255715.88202247192,117933.03646342346,19e4
AL9,O,16,1933619.0625,2511380.969614698,554500.0
AL9,S,221,465169.4343891403,168183.23905861372,365e3
AL9,T,232,343748.5344827586,139201.1468432462,270900.0
B1,D,2,242500.0,144956.89014324223,201500.0
B1,F,1309,154282.65164247516,84323.35354465076,117e3
B1,O,68,1687384.75,3776203.6000286723,254299.99999999994
B1,T,64,218182.03125,135791.64664655604,115e3
B10,D,2,75500.0,79903.06627407987,52900.00000000001
B10,F,23,54473.913043478264,15385.411253737753,48600.0
B10,O,15,973265.2,1299075.2332200008,9e4
B10,S,57,120080.70175438597,34723.35277691622,103e3
B10,T,434,111689.80184331797,33645.38159916922,95e3
B11,D,10,220595.0,112354.33149440904,146500.0
B11,F,34,79942.64705882352,55464.75830644959,54e3
B11,O,47,880912.1276595745,1679737.3764169547,246400.0
B11,S,154,151299.31818181818,56940.0764566138,12e4
B11,T,985,112761.50253807107,40186.7954778267,93030.0
B12,D,4,154500.0,46457.86621588785,122200.0
B12,F,116,109048.14655172414,35334.1987594121,96e3
B12,O,28,411065.9285714286,550145.7754347129,122999.99999999999
B12,S,24,158022.91666666666,46794.86449704819,129700.0
B12,T,255,125890.2156862745,45627.87738514437,1e5
B13,D,332,394297.8313253012,163852.3061292909,28e4
B13,F,690,122648.80144927536,60829.8533120447,9e4
B13,O,26,592185.1153846154,574002.6112138742,298500.0
B13,S,511,252148.70645792564,119947.16403351226,175e3
B13,T,684,176865.0716374269,81823.65800516523,125e3
